Verb,Tense,Subject
ভাবিয়েছি,Present,1st
ভাবিয়েছিল,Past,3rd_f
ভাবিয়েছিলাম,Past,1st
ভাবিয়েছিলি,Past,1st
ভাবিয়েছিলুম,Past,1st
ভাবিয়েছিলে,Past,2nd_f
ভাবিয়েছিলেন,Past,pol_f
ভাবিয়েছিলেম,Past,1st
ভাবিয়েছিস,Present,2nd_i
ভাবিয়েছে,Present,2nd_f
ভাবিয়েছেন,Present,pol_f
ভাবিয়ো,Present,2nd_f
ভাবিল,Past,3rd_f
ভাবিলাম,Past,1st
ভাবিলি,Past,1st
ভাবিলে,Past,2nd_f
ভাবিলেন,Past,pol_f
ভাবিস,Present,2nd_i
ভাবুক,Present,3rd_f
ভাবুন,Present,pol_f
ভাবে,Future,2nd_f
ভাবেন,Future,pol_f
ভাবছ,Present,2nd_f
ভাবছি,Present,1st
ভাবছিল,Past,3rd_f
ভাবছিলাম,Past,1st
ভাবছিলি,Past,1st
ভাবছিলুম,Past,1st
ভাবছিলে,Past,2nd_f
ভাবছিলেন,Past,pol_f
ভাবছিলেম,Past,1st
ভাবছিস,Present,2nd_i
ভাবছে,Present,3rd_f
ভাবছেন,Present,pol_f
ভাবত,Past,3rd_f
ভাবতাম,Past,1st
ভাবতিস,Past,2nd_i
ভাবতুম,Past,1st
ভাবতে,Past,2nd_f
ভাবতেন,Past,pol_f
ভাবতেম,Past,1st
ভাবব,Future,1st
ভাববার,Present,404_f
ভাববি,Future,1st
ভাববে,Future,2nd_f
ভাববেন,Future,pol_f
ভাববো,Future,1st
ভাবল,Past,3rd_f
ভাবলাম,Past,1st
ভাবলি,Past,1st
ভাবলুম,Past,1st
ভাবলে,Past,2nd_f
ভাবলেন,Past,pol_f
ভাবলেম,Past,1st
ভোগ,Root,2nd_i
ভোগা,Base,pos_f
ভোগাই,Present,1st
ভোগাও,Present,2nd_f
ভোগাক,Present,3rd_f
ভোগাচ্ছ,Present,2nd_f
ভোগাচ্ছি,Present,1st
ভোগাচ্ছিল,Past,3rd_f
ভোগাচ্ছিলাম,Past,1st
ভোগাচ্ছিলি,Past,1st
ভোগাচ্ছিলুম,Past,1st
ভোগাচ্ছিলে,Past,2nd_f
ভোগাচ্ছিলেন,Past,pol_f
ভোগাচ্ছিলেম,Past,1st
ভোগাচ্ছিস,Present,2nd_i
ভোগাচ্ছে,Present,3rd_f
ভোগাচ্ছেন,Present,pol_f
ভোগাত,Past,3rd_f
ভোগাতাম,Past,1st
ভোগাতিস,Past,2nd_i
ভোগাতুম,Past,1st
ভোগাতে,Past,2nd_f
ভোগাতেন,Past,pol_f
ভোগাতেম,Past,1st
ভোগান,Present,pol_f
ভোগানো,Present,obj_f
ভোগাব,Future,1st
ভোগাবার,Present,404_f
ভোগাবি,Future,1st
ভোগাবে,Future,2nd_f
ভোগাবেন,Future,pol_f
ভোগাবো,Future,1st
ভোগায়,Present,3rd_f
ভোগার,Present,404_f
ভোগাল,Past,3rd_f
ভোগালাম,Past,1st
ভোগালি,Past,1st
ভোগালুম,Past,1st
ভোগালে,Past,2nd_f
ভোগালেন,Past,pol_f
ভোগালেম,Past,1st
ভোগাস,Present,2nd_i
ভোগে,Present,3rd_f
ভোগেন,Present,pol_f
ভোগবার,Present,404_f
মর,Root,2nd_i
মরা,Base,pos_f
মরার,Present,404_f
মরি,Present,1st
মরিও,Present,2nd_f
মরিত,Past,3rd_f
মরিতাম,Past,1st
মরিতিস,Past,2nd_i
মরিতে,Past,2nd_f
মরিতেছ,Present,2nd_f
মরিতেছি,Present,1st
মরিতেছিল,Past,3rd_f
মরিতেছিলাম,Past,1st
মরিতেছিলি,Past,1st
মরিতেছিলে,Past,2nd_f
মরিতেছিলেন,Past,pol_f
মরিতেছিস,Present,2nd_i
মরিতেছে,Present,2nd_f
মরিতেছেন,Present,pol_f
মরিতেন,Past,pol_f
মরিব,Future,1st
মরিবার,Present,404_f
মরিবি,Future,1st
মরিবে,Future,2nd_f
মরিবেন,Future,pol_f
মরিয়া,Participle,404_f
মরিয়াছ,Present,2nd_f
মরিয়াছি,Present,1st
মরিয়াছিল,Past,3rd_f
মরিয়াছিলাম,Past,1st
মরিয়াছিলি,Past,1st
মরিয়াছিলে,Past,2nd_f
মরিয়াছিলেন,Past,pol_f
মরিয়াছিস,Present,2nd_i
মরিয়াছে,Present,3rd_f
মরিয়াছেন,Present,pol_f
মরিয়ো,Present,2nd_f
মরিল,Past,3rd_f
মরিলাম,Past,1st
মরিলি,Past,1st
মরিলে,Past,2nd_f
মরিলেন,Past,pol_f
মরিস,Present,2nd_i
মরুক,Present,3rd_f
মরুন,Present,pol_f
মরে,Present,3rd_f
মরেছ,Present,2nd_f
মরেছি,Present,1st
মরেছিল,Past,3rd_f
মরেছিলাম,Past,1st
মরেছিলি,Past,1st
মরেছিলুম,Past,1st
মরেছিলে,Past,2nd_f
মরেছিলেন,Past,pol_f
মরেছিলেম,Past,1st
মরেছিস,Present,2nd_i
মরেছে,Present,2nd_f
মরেছেন,Present,pol_f
মরেন,Present,pol_f
মরো,Present,2nd_f
মরছ,Present,2nd_f
মরছি,Present,1st
মরছিল,Past,3rd_f
মরছিলাম,Past,1st
মরছিলি,Past,1st
মরছিলুম,Past,1st
মরছিলে,Past,2nd_f
মরছিলেন,Past,pol_f
মরছিলেম,Past,1st
মরছিস,Present,2nd_i
মরছে,Present,3rd_f
মরছেন,Present,pol_f
মরত,Past,3rd_f
মরতাম,Past,1st
মরতিস,Past,2nd_i
মরতুম,Past,1st
মরতে,Past,2nd_f
মরতেন,Past,pol_f
মরতেম,Past,1st
মরব,Future,1st
মরবার,Present,404_f
মরবি,Future,1st
মরবে,Future,2nd_f
মরবেন,Future,pol_f
মরবো,Future,1st
মরল,Past,3rd_f
মরলাম,Past,1st
মরলি,Past,1st
মরলুম,Past,1st
মরলে,Past,2nd_f
মরলেন,Past,pol_f
মরলেম,Past,1st
যা,Root,2nd_i
যাই,Present,1st
যাইও,Present,2nd_f
যাইত,Past,3rd_f
যাইতাম,Past,1st
যাইতিস,Past,2nd_i
যাইতে,Past,2nd_f
যাইতেছ,Present,2nd_f
যাইতেছি,Present,1st
যাইতেছিল,Past,3rd_f
যাইতেছিলাম,Past,1st
যাইতেছিলি,Past,1st
যাইতেছিলে,Past,2nd_f
যাইতেছিলেন,Past,pol_f
যাইতেছিস,Present,2nd_i
যাইতেছে,Present,2nd_f
যাইতেছেন,Present,pol_f
যাইতেন,Past,pol_f
যাইব,Future,1st
যাইবার,Present,404_f
যাইবি,Future,1st
যাইবে,Future,2nd_f
যাইবেন,Future,pol_f
যাইয়া,Participle,404_f
যাইয়ো,Present,2nd_f
যাইল,Past,3rd_f
যাইলাম,Past,1st
যাইলি,Past,1st
যাইলে,Past,2nd_f
যাইলেন,Past,pol_f
যাও,Present,2nd_f
যাওয়া,Base,pos_f
যাক,Present,3rd_f
লেখ,Root,2nd_i
লেখা,Base,pos_f
লেখাই,Present,1st
লেখাও,Present,2nd_f
লেখাক,Present,3rd_f
লেখাচ্ছ,Present,2nd_f
লেখাচ্ছি,Present,1st
লেখাচ্ছিল,Past,3rd_f
লেখাচ্ছিলাম,Past,1st
লেখাচ্ছিলি,Past,1st
লেখাচ্ছিলুম,Past,1st
লেখাচ্ছিলে,Past,2nd_f
লেখাচ্ছিলেন,Past,pol_f
লেখাচ্ছিলেম,Past,1st
লেখাচ্ছিস,Present,2nd_i
লেখাচ্ছে,Present,3rd_f
লেখাচ্ছেন,Present,pol_f
লেখাত,Past,3rd_f
লেখাতাম,Past,1st
লেখাতিস,Past,2nd_i
লেখাতুম,Past,1st
লেখাতে,Past,2nd_f
লেখাতেন,Past,pol_f
লেখাতেম,Past,1st
লেখান,Present,pol_f
লেখানো,Present,obj_f
লেখাব,Future,1st
লেখাবার,Present,404_f
লেখাবি,Future,1st
লেখাবে,Future,2nd_f
লেখাবেন,Future,pol_f
লেখাবো,Future,1st
লেখায়,Present,3rd_f
লেখার,Present,404_f
লেখাল,Past,3rd_f
লেখালাম,Past,1st
লেখালি,Past,1st
লেখালুম,Past,1st
লেখালে,Past,2nd_f
লেখালেন,Past,pol_f
লেখালেম,Past,1st
লেখাস,Present,2nd_i
লেখে,Present,3rd_f
লেখেন,Present,pol_f
লেখবার,Present,404_f
শোন,Root,2nd_i
শোনা,Base,pos_f
শোনাই,Present,1st
শোনাও,Present,2nd_f
শোনাক,Present,3rd_f
শোনাচ্ছ,Present,2nd_f
শোনাচ্ছি,Present,1st
শোনাচ্ছিল,Past,3rd_f
শোনাচ্ছিলাম,Past,1st
শোনাচ্ছিলি,Past,1st
শোনাচ্ছিলুম,Past,1st
শোনাচ্ছিলে,Past,2nd_f
শোনাচ্ছিলেন,Past,pol_f
শোনাচ্ছিলেম,Past,1st
শোনাচ্ছিস,Present,2nd_i
শোনাচ্ছে,Present,3rd_f
শোনাচ্ছেন,Present,pol_f
শোনাত,Past,3rd_f
শোনাতাম,Past,1st
শোনাতিস,Past,2nd_i
শোনাতুম,Past,1st
শোনাতে,Past,2nd_f
শোনাতেন,Past,pol_f
শোনাতেম,Past,1st
শোনান,Present,pol_f
শোনানো,Present,obj_f
শোনাব,Future,1st
শোনাবার,Present,404_f
শোনাবি,Future,1st
শোনাবে,Future,2nd_f
শোনাবেন,Future,pol_f
শোনাবো,Future,1st
শোনায়,Present,3rd_f
শোনার,Present,404_f
শোনাল,Past,3rd_f
শোনালাম,Past,1st
শোনালি,Past,1st
শোনালুম,Past,1st
শোনালে,Past,2nd_f
শোনালেন,Past,pol_f
শোনালেম,Past,1st
শোনাস,Present,2nd_i
শোনে,Present,3rd_f
শোনেন,Present,pol_f
শোনবার,Present,404_f
হাসা,Base,pos_f
হাসাই,Present,1st
হাসাইও,Present,2nd_f
হাসাইত,Past,3rd_f
হাসাইতাম,Past,1st
হাসাইতিস,Past,2nd_i
হাসাইতে,Past,2nd_f
হাসাইতেছ,Present,2nd_f
হাসাইতেছি,Present,1st
হাসাইতেছিল,Past,3rd_f
হাসাইতেছিলাম,Past,1st
হাসাইতেছিলি,Past,1st
হাসাইতেছিলে,Past,2nd_f
হাসাইতেছিলেন,Past,pol_f
হাসাইতেছিস,Present,2nd_i
হাসাইতেছে,Present,2nd_f
হাসাইতেছেন,Present,pol_f
হাসাইতেন,Past,pol_f
হাসাইব,Future,1st
হাসাইবার,Present,404_f
হাসাইবি,Future,1st
হাসাইবে,Future,2nd_f
হাসাইবেন,Future,pol_f
হাসাইয়া,Participle,404_f
হাসাইয়াছ,Present,2nd_f
হাসাইয়াছি,Present,1st
হাসাইয়াছিল,Past,3rd_f
হাসাইয়াছিলাম,Past,1st
হাসাইয়াছিলি,Past,1st
হাসাইয়াছিলে,Past,2nd_f
হাসাইয়াছিলেন,Past,pol_f
হাসাইয়াছিস,Present,2nd_i
হাসাইয়াছে,Present,3rd_f
হাসাইয়াছেন,Present,pol_f
হাসাইয়ো,Present,2nd_f
হাসাইল,Past,3rd_f
হাসাইলাম,Past,1st
হাসাইলি,Past,1st
হাসাইলে,Past,2nd_f
হাসাইলেন,Past,pol_f
হাসাও,Present,2nd_f
হাসাক,Present,3rd_f
হাসাচ্ছ,Present,2nd_f
হাসাচ্ছি,Present,1st
হাসাচ্ছিল,Past,3rd_f
হাসাচ্ছিলাম,Past,1st
হাসাচ্ছিলি,Past,1st
হাসাচ্ছিলুম,Past,1st
হাসাচ্ছিলে,Past,2nd_f
হাসাচ্ছিলেন,Past,pol_f
হাসাচ্ছিলেম,Past,1st
হাসাচ্ছিস,Present,2nd_i
হাসাচ্ছে,Present,3rd_f
হাসাচ্ছেন,Present,pol_f
হাসাত,Past,3rd_f
হাসাতাম,Past,1st
হাসাতিস,Past,2nd_i
হাসাতুম,Past,1st
হাসাতে,Past,2nd_f
হাসাতেন,Past,pol_f
হাসাতেম,Past,1st
হাসান,Present,pol_f
হাসানো,Present,obj_f
হাসাব,Future,1st
হাসাবার,Present,404_f
হাসাবি,Future,1st
হাসাবে,Future,2nd_f
হাসাবেন,Future,pol_f
হাসাবো,Future,1st
হাসায়,Present,3rd_f
হাসার,Present,404_f
হাসাল,Past,3rd_f
হাসালাম,Past,1st
হাসালি,Past,1st
হাসালুম,Past,1st
হাসালে,Past,2nd_f
হাসালেন,Past,pol_f
হাসালেম,Past,1st
হাসাস,Present,2nd_i
হাসিও,Present,2nd_f
হাসিত,Past,3rd_f
হাসিতাম,Past,1st
হাসিতিস,Past,2nd_i
হাসিতে,Past,2nd_f
হাসিতেছ,Present,2nd_f
হাসিতেছি,Present,1st
হাসিতেছিল,Past,3rd_f
হাসিতেছিলাম,Past,1st
হাসিতেছিলি,Past,1st
হাসিতেছিলে,Past,2nd_f
হাসিতেছিলেন,Past,pol_f
হাসিতেছিস,Present,2nd_i
হাসিতেছে,Present,2nd_f
হাসিতেছেন,Present,pol_f
হাসিতেন,Past,pol_f
হাসিব,Future,1st
হাসিবার,Present,404_f
হাসিবি,Future,1st
হাসিবে,Future,2nd_f
হাসিবেন,Future,pol_f
হাসিয়া,Participle,404_f
হাসিয়াছ,Present,2nd_f
হাসিয়াছি,Present,1st
হাসিয়াছিল,Past,3rd_f
হাসিয়াছিলাম,Past,1st
হাসিয়াছিলি,Past,1st
হাসিয়াছিলে,Past,2nd_f
হাসিয়াছিলেন,Past,pol_f
হাসিয়াছিস,Present,2nd_i
হাসিয়াছে,Present,3rd_f
হাসিয়াছেন,Present,pol_f
হাসিয়ে,Participle,404_f
হাসিয়েছ,Present,2nd_f
হাসিয়েছি,Present,1st
হাসিয়েছিল,Past,3rd_f
হাসিয়েছিলাম,Past,1st
হাসিয়েছিলি,Past,1st
হাসিয়েছিলুম,Past,1st
হাসিয়েছিলে,Past,2nd_f
হাসিয়েছিলেন,Past,pol_f
হাসিয়েছিলেম,Past,1st
হাসিয়েছিস,Present,2nd_i
হাসিয়েছে,Present,2nd_f
হাসিয়েছেন,Present,pol_f
হাসিয়ো,Present,2nd_f
হাসিলাম,Past,1st
হাসিলি,Past,1st
হাসিলে,Past,2nd_f
হাসিলেন,Past,pol_f
হাসিস,Present,2nd_i
হাসুক,Present,3rd_f
হাসুন,Present,pol_f
হাসে,Present,3rd_f
হাসেন,Present,pol_f
হাসছ,Present,2nd_f
হাসছি,Present,1st
হাসছিল,Past,3rd_f
হাসছিলাম,Past,1st
হাসছিলি,Past,1st
হাসছিলুম,Past,1st
হাসছিলে,Past,2nd_f
হাসছিলেন,Past,pol_f
হাসছিলেম,Past,1st
হাসছিস,Present,2nd_i
হাসছে,Present,3rd_f
হাসছেন,Present,pol_f
হাসত,Past,3rd_f
হাসতাম,Past,1st
হাসতিস,Past,2nd_i
হাসতুম,Past,1st
হাসতে,Past,2nd_f
হাসতেন,Past,pol_f
হাসতেম,Past,1st
হাসব,Future,1st
হাসবার,Present,404_f
হাসবি,Future,1st
হাসবে,Future,2nd_f
হাসবেন,Future,pol_f
হাসবো,Future,1st
হাসল,Past,3rd_f
হাসলাম,Past,1st
হাসলি,Past,1st
হাসলুম,Past,1st
হাসলে,Past,2nd_f
হাসলেন,Past,pol_f
হাসলেম,Past,1st
